ID,x_data,y_data,test_val
1,6,4,1
2,7,4,1
3,8,4,1
4,9,4,1
5,10,4,1
6,11,4,1
7,12,4,1
8,13,4,1
9,14,4,1
10,15,4,1
11,15,5,1
12,16,5,1
13,16,4,1
14,17,4,1
15,18,4,1
16,19,5,1
17,20,5,1
18,20,4,1
19,20,5,1
20,21,5,1
21,21,4,1
22,21,3,1
23,22,3,1
24,22,4,1
25,22,5,1
26,22,6,1
27,22,5,1
28,22,4,1
29,22,3,1
30,22,2,1
31,22,3,1
32,21,3,1
33,20,3,1
34,19,4,1
35,19,5,1
36,18,5,1
37,18,6,1
38,19,6,1
39,18,6,1
40,18,7,1
41,18,8,1
42,19,8,1
43,20,8,1
44,20,9,1
45,21,9,1
46,21,10,1
47,22,10,1
48,23,10,1
49,24,10,1
50,25,10,1
51,25,11,1
52,26,11,1
53,26,10,1
54,27,10,1
55,28,10,1
56,29,10,1
57,29,9,1
58,30,9,1
59,31,8,1
60,31,7,1
61,31,6,1
62,32,6,1
63,33,6,1
64,34,6,1
65,34,7,1
66,34,7,1
67,34,7,1
68,34,6,1
69,33,6,1
70,33,5,1
71,32,5,1
72,31,5,1
73,31,6,1
74,30,6,1
75,30,7,1
76,29,7,1
77,30,7,1
78,31,8,1
79,31,9,1
80,32,9,1
81,33,9,1
82,34,9,1
83,35,10,1
84,36,10,1
85,37,10,1
86,38,10,1
87,38,9,1
88,37,9,1
89,38,9,1
90,38,10,1
91,39,10,1
92,40,10,1
93,41,9,1
94,42,9,1
95,43,10,1
96,44,10,1
97,44,11,1
98,45,11,1
99,46,11,1
100,47,10,1
101,48,9,1
102,49,9,1
103,49,10,1
104,50,10,1
105,51,10,1
106,52,10,1
107,53,10,1
108,54,10,1
109,54,11,1
110,53,11,1
111,53,10,1
112,54,10,1
113,54,9,1
114,54,8,1
115,54,7,1
116,54,6,1
117,54,5,1
118,54,4,1
119,54,3,1
120,54,2,1
121,54,3,1
122,55,3,1
123,56,2,1
124,57,2,1
125,58,2,1
126,58,3,1
127,58,4,1
128,59,4,1
129,60,4,1
130,60,5,1
131,60,6,1
132,60,7,1
133,61,7,1
134,62,7,1
135,63,7,1
136,64,7,1
137,63,7,1
138,62,7,1
139,62,6,1
140,61,6,1
141,61,5,1
142,62,4,1
143,62,5,1
144,62,4,1
145,63,4,1
146,64,4,1
147,65,4,1
148,66,4,1
149,67,3,1
150,67,2,1
151,67,1,1
152,66,1,1
153,67,1,1
154,67,2,1
155,67,3,1
156,66,3,1
157,66,4,1
158,65,4,1
159,64,4,1
160,63,4,1
161,62,4,1
162,61,4,1
163,60,3,1
164,59,2,1
165,59,1,1
166,58,1,1
167,57,1,1
168,56,1,1
169,55,1,1
170,54,2,1
171,54,3,1
172,54,4,1
173,54,5,1
174,54,6,1
175,54,7,1
176,54,8,1
177,54,9,1
178,54,10,1
179,53,10,1
180,52,10,1
181,51,10,1
182,50,9,1
183,49,9,1
184,48,9,1
185,47,9,1
186,46,10,1
187,45,10,1
188,44,10,1
189,43,10,1
190,42,10,1
191,42,9,1
192,41,9,1
193,41,10,1
194,41,11,1
195,41,12,1
196,41,13,1
197,41,14,1
198,41,15,1
199,41,14,1
200,42,14,1
201,41,14,1
202,41,15,1
203,41,14,1
204,41,13,1
205,41,12,1
206,41,11,1
207,40,11,1
208,39,11,1
209,38,11,1
210,37,10,1
211,38,10,1
212,38,9,1
213,37,9,1
214,37,8,1
215,37,7,1
216,38,6,1
217,38,5,1
218,38,4,1
219,38,3,1
220,39,3,1
221,39,2,1
222,40,2,1
223,40,3,1
224,41,3,1
225,42,4,1
226,42,5,1
227,43,5,1
228,44,6,1
229,45,6,1
230,45,5,1
231,44,5,1
232,44,4,1
233,44,3,1
234,44,2,1
235,45,2,1
236,45,1,1
237,46,1,1
238,47,1,1
239,48,1,1
240,49,1,1
241,50,1,1
242,51,1,1
243,51,2,1
244,51,3,1
245,51,4,1
246,50,4,1
247,50,4,1
248,50,4,1
249,49,4,1
250,49,4,1
251,49,4,1
252,49,5,1
253,49,6,1
254,49,6,1
255,49,6,1
256,49,5,1
257,48,5,1
258,47,5,1
259,46,4,1
260,45,4,1
261,44,4,1
262,43,4,1
263,42,3,1
264,41,3,1
265,40,3,1
266,39,2,1
267,38,3,1
268,38,4,1
269,38,5,1
270,37,6,1
271,37,7,1
272,38,7,1
273,37,7,1
274,37,8,1
275,37,9,1
276,36,9,1
277,35,10,1
278,34,9,1
279,33,9,1
280,33,8,1
281,33,9,1
282,32,9,1
283,32,10,1
284,31,10,1
285,32,10,1
286,33,10,1
287,34,11,1
288,35,11,1
289,35,12,1
290,36,12,1
291,36,13,1
292,36,14,1
293,36,15,1
294,36,16,1
295,36,17,1
296,37,17,1
297,38,17,1
298,38,18,1
299,39,18,1
300,40,18,1
301,41,18,1
302,42,18,1
303,43,18,1
304,44,18,1
305,45,19,1
306,45,20,1
307,45,21,1
308,45,22,1
309,45,23,1
310,45,24,1
311,45,24,1
312,45,24,1
313,44,24,1
314,44,25,1
315,44,24,1
316,43,24,1
317,42,24,1
318,43,24,1
319,44,24,1
320,45,23,1
321,45,22,1
322,45,21,1
323,44,21,1
324,44,20,1
325,44,19,1
326,44,20,1
327,43,20,1
328,42,20,1
329,41,20,1
330,41,20,1
331,41,20,1
332,42,20,1
333,42,21,1
334,42,20,1
335,43,20,1
336,44,20,1
337,45,20,1
338,45,21,1
339,46,21,1
340,47,21,1
341,48,21,1
342,49,21,1
343,49,22,1
344,50,22,1
345,51,22,1
346,52,21,1
347,51,21,1
348,50,21,1
349,50,22,1
350,50,21,1
351,51,21,1
352,51,22,1
353,52,22,1
354,53,22,1
355,54,22,1
356,55,22,1
357,56,22,1
358,57,22,1
359,58,22,1
