x_data,y_data
6,4
7,4
8,4
9,4
10,4
11,4
12,4
13,4
14,4
15,4
15,5
16,5
16,4
17,4
18,4
19,5
20,5
20,4
20,5
21,5
21,4
21,3
22,3
22,4
22,5
22,6
22,5
22,4
22,3
22,2
22,3
21,3
20,3
19,4
19,5
18,5
18,6
19,6
18,6
18,7
18,8
19,8
20,8
20,9
21,9
21,10
22,10
23,10
24,10
25,10
25,11
26,11
26,10
27,10
28,10
29,10
29,9
30,9
31,8
31,7
31,6
32,6
33,6
34,6
34,7
34,7
34,7
34,6
33,6
33,5
32,5
31,5
31,6
30,6
30,7
29,7
30,7
31,8
31,9
32,9
33,9
34,9
35,10
36,10
37,10
38,10
38,9
37,9
38,9
38,10
39,10
40,10
41,9
42,9
43,10
44,10
44,11
45,11
46,11
47,10
48,9
49,9
49,10
50,10
51,10
52,10
53,10
54,10
54,11
53,11
53,10
54,10
54,9
54,8
54,7
54,6
54,5
54,4
54,3
54,2
54,3
55,3
56,2
57,2
58,2
58,3
58,4
59,4
60,4
60,5
60,6
60,7
61,7
62,7
63,7
64,7
63,7
62,7
62,6
61,6
61,5
62,4
62,5
62,4
63,4
64,4
65,4
66,4
67,3
67,2
67,1
66,1
67,1
67,2
67,3
66,3
66,4
65,4
64,4
63,4
62,4
61,4
60,3
59,2
59,1
58,1
57,1
56,1
55,1
54,2
54,3
54,4
54,5
54,6
54,7
54,8
54,9
54,10
53,10
52,10
51,10
50,9
49,9
48,9
47,9
46,10
45,10
44,10
43,10
42,10
42,9
41,9
41,10
41,11
41,12
41,13
41,14
41,15
41,14
42,14
41,14
41,15
41,14
41,13
41,12
41,11
40,11
39,11
38,11
37,10
38,10
38,9
37,9
37,8
37,7
38,6
38,5
38,4
38,3
39,3
39,2
40,2
40,3
41,3
42,4
42,5
43,5
44,6
45,6
45,5
44,5
44,4
44,3
44,2
45,2
45,1
46,1
47,1
48,1
49,1
50,1
51,1
51,2
51,3
51,4
50,4
50,4
50,4
49,4
49,4
49,4
49,5
49,6
49,6
49,6
49,5
48,5
47,5
46,4
45,4
44,4
43,4
42,3
41,3
40,3
39,2
38,3
38,4
38,5
37,6
37,7
38,7
37,7
37,8
37,9
36,9
35,10
34,9
33,9
33,8
33,9
32,9
32,10
31,10
32,10
33,10
34,11
35,11
35,12
36,12
36,13
36,14
36,15
36,16
36,17
37,17
38,17
38,18
39,18
40,18
41,18
42,18
43,18
44,18
45,19
45,20
45,21
45,22
45,23
45,24
45,24
45,24
44,24
44,25
44,24
43,24
42,24
43,24
44,24
45,23
45,22
45,21
44,21
44,20
44,19
44,20
43,20
42,20
41,20
41,20
41,20
42,20
42,21
42,20
43,20
44,20
45,20
45,21
46,21
47,21
48,21
49,21
49,22
50,22
51,22
52,21
51,21
50,21
50,22
50,21
51,21
51,22
52,22
