ID,x_data,y_data,coverage,redundancy,effort,ideal_coverage
1,6,4,0,,0,1
2,7,4,0,,0,2.25
3,8,4,0,,0,3.5
4,9,4,0,,0,4.75
5,10,4,0,,0,6
6,11,4,8,0.000344234,0,7.25
7,12,4,12,0.000458979,0,8.5
8,13,4,16,0.000516351,0,9.75
9,14,4,20,0.000550775,0,11
10,15,4,24,0.000573723,0,12.25
11,15,5,24,0.000659782,0,13.5
12,16,5,26,0.000688468,0,14.75
13,16,4,28,0.000737644,0,16
14,17,4,31,0.000732885,0,17.25
15,18,4,35,0.000717974,0,18.5
16,19,5,39,0.000714948,1.414213562,19.75
17,20,5,42,0.000729448,1.414213562,21
18,20,4,46,0.000725885,1.414213562,22.25
19,20,5,46,0.000785752,1.414213562,23.5
20,21,5,49,0.000793846,1.414213562,24.75
21,21,4,51,0.000816712,1.414213562,26
22,21,3,55,0.000807385,1.414213562,27.25
23,22,3,57,0.000815291,1.414213562,28.5
24,22,4,57,0.000851526,1.414213562,29.75
25,22,5,57,0.000887762,1.414213562,31
26,22,6,58,0.000908066,1.414213562,32.25
27,22,5,58,0.000943676,1.414213562,33.5
28,22,4,58,0.000979287,1.414213562,34.75
29,22,3,58,0.001014897,1.414213562,36
30,22,2,59,0.001021033,1.414213562,37.25
31,22,3,59,0.00105604,1.414213562,38.5
32,21,3,59,0.001102716,1.414213562,39.75
33,20,3,60,0.001130235,1.414213562,41
34,19,4,60,0.001176133,2.828427125,42.25
35,19,5,60,0.001222031,2.828427125,43.5
36,18,5,61,0.0012415,2.828427125,44.75
37,18,6,62,0.001260341,2.828427125,46
38,19,6,62,0.001293654,2.828427125,47.25
39,18,6,62,0.001332519,2.828427125,48.5
40,18,7,65,0.001302794,2.828427125,49.75
41,18,8,67,0.001289593,2.828427125,51
42,19,8,69,0.001287136,2.828427125,52.25
43,20,8,71,0.001279969,2.828427125,53.5
44,20,9,73,0.001273195,2.828427125,54.75
45,21,9,76,0.001254643,2.828427125,56
46,21,10,78,0.001257778,2.828427125,57.25
47,22,10,80,0.001260757,2.828427125,58.5
